,DATE,LATITUDE_A,LONGITUDE_A,ELEVATION_A,PRCP_A,SNWD_A,TMAX_A,TMIN_A,TAVG_A,LATITUDE_B,LONGITUDE_B,ELEVATION_B,PRCP_B,SNWD_B,TMAX_B,TMIN_B,TAVG_B,LATITUDE_C,LONGITUDE_C,ELEVATION_C,PRCP_C,SNWD_C,TMAX_C,TMIN_C,TAVG_C,LATITUDE,LONGITUDE,TAVG
0,01-11-1979,63.88,77.52,128,,0,17.6,,12.96,62.95,79.82,66,0,3.93,17.12,29.84,9.9,63.08,78.93,64,0,0,18.7,,,63.933,78.733,9.3
1,13-11-1979,63.88,77.52,128,,0,8.8,,0,62.95,79.82,66,0,0,10.49,-4.64,1.1,63.08,78.93,64,0,0,11,-3.8,2.04,63.933,78.733,2.7
2,05-02-1980,63.88,77.52,128,,0,-9.9,,-17.76,62.95,79.82,66,0,0,-9.31,-17.52,-17.6,63.08,78.93,64,0,0,,,-16.56,63.933,78.733,-16
3,23-12-1979,63.88,77.52,128,0,0,,-4.3,-4.44,62.95,79.82,66,3,0,0.64,-3.2,-2.75,63.08,78.93,64,0,0,0,,-2.64,63.933,78.733,-3.2
4,07-06-1977,63.88,77.52,128,,0,39.6,15.48,,62.95,79.82,66,0,0,38.31,13.36,29.48,63.08,78.93,64,,3.82,38.5,17.1,33,63.933,78.733,27.3
5,03-12-1978,63.88,77.52,128,,0,,,,62.95,79.82,66,0,0,8.56,2.88,6.16,63.08,78.93,64,0,0,11,,6.48,63.933,78.733,3.8
6,05-01-1980,63.88,77.52,128,,0,-4.4,,-5.76,62.95,79.82,66,0,0,-1.82,13.52,-2.53,63.08,78.93,64,3,3.25,-2.2,-2.85,-3.24,63.933,78.733,-2.6
7,04-12-1976,63.88,77.52,128,0,0,1.1,,18.72,62.95,79.82,66,0,0,3.96,-7.92,-4.4,63.08,78.93,64,0,0,3.3,,-3.96,63.933,78.733,-1.2
8,12-04-1978,63.88,77.52,128,,0,,18.4,7.2,62.95,79.82,66,0,0,14.55,-0.72,8.8,63.08,78.93,64,,0,16.5,,,63.933,78.733,5.5
9,21-11-1976,63.88,77.52,128,,0,6.6,,-2.16,62.95,79.82,66,0,0,7.06,-7.76,35.31,63.08,78.93,64,0,0,5.5,,-1.92,63.933,78.733,-1
10,25-10-1978,63.88,77.52,128,0,0,12.1,,5.76,62.95,79.82,66,0,0,16.26,5.6,10.78,63.08,78.93,64,0,2.99,53.02,,9.36,63.933,78.733,10.5
11,15-03-1980,63.88,77.52,128,0,0,,-13.76,-11.04,62.95,79.82,66,0,0,-0.43,-8.16,-5.61,63.08,78.93,64,0,0,,,-6,63.933,78.733,-8.7
12,02-09-1977,63.88,77.52,128,,0,,,26.4,62.95,79.82,66,0,0,29.42,9.04,48.29,63.08,78.93,64,,0,30.8,,24,63.933,78.733,20.3
